userID	movieId	trueRating	rating
75	3	1.0	2.0
75	1127	3.5	2.0
75	1374	4.0	2.0
75	3994	3.5	2.0
75	7000	3.5	2.0
75	7007	4.5	2.0
75	32587	5.0	2.0
78	223	4.5	4.0
78	296	4.5	4.0
78	318	4.0	4.0
78	327	3.5	4.0
78	480	2.5	4.0
78	720	4.5	4.0
78	800	4.0	4.0
78	858	4.0	4.0
78	904	4.5	4.0
78	969	4.5	4.0
78	1019	3.5	4.0
78	1090	4.0	4.0
78	1097	3.0	4.0
78	1172	4.5	3.5
78	1186	4.0	3.5
78	1198	4.0	3.5
78	1200	4.0	3.5
78	1201	4.0	3.5
78	1206	5.0	3.5
78	1217	5.0	3.5
78	1243	5.0	3.5
78	1244	4.5	3.5
78	1254	4.5	3.5
78	1259	4.5	3.5
78	1273	4.5	3.5
78	1278	5.0	3.5
78	1279	3.5	3.5
78	1288	5.0	3.5
78	1307	4.0	3.5
78	1343	3.5	3.5
78	1374	3.0	3.5
78	1387	4.5	3.5
78	1517	4.0	3.5
78	1641	4.5	3.5
78	1653	4.0	3.5
78	1732	3.5	3.5
78	1794	4.5	3.5
78	1885	4.5	3.5
78	1904	3.5	3.5
78	1913	4.5	3.5
78	1916	4.5	3.5
78	1957	3.5	3.5
78	2028	3.5	3.5
78	2289	4.0	3.5
78	2390	5.0	3.5
78	2402	2.0	3.5
78	2527	3.5	3.5
78	2662	4.5	3.5
78	2672	4.0	3.5
78	2692	4.5	3.5
78	2791	4.5	3.5
78	2916	4.0	3.5
78	2917	4.0	3.5
78	2973	4.5	3.5
78	3072	4.0	3.5
78	3363	4.0	3.5
78	3418	3.5	3.5
78	3470	4.5	3.5
78	3471	3.5	3.5
78	3552	3.0	3.5
78	3608	5.0	3.5
78	3676	4.5	3.5
78	3683	4.0	3.5
78	3751	4.5	3.5
78	3996	3.0	3.5
78	4042	2.5	3.5
78	4119	4.5	3.5
78	4131	4.0	3.5
78	4310	2.5	3.5
78	4361	3.0	3.5
78	4407	5.0	3.5
78	4571	4.0	3.5
78	4788	4.5	3.5
78	5139	3.5	3.5
78	5198	4.5	3.5
78	5515	3.0	3.5
78	5693	4.0	3.5
78	5747	5.0	3.5
78	5899	4.5	3.5
78	6365	2.0	3.5
78	6385	4.5	3.5
78	6502	4.0	3.5
78	6565	4.0	3.5
78	6579	4.0	3.5
78	6645	4.0	3.5
78	6773	5.0	3.5
78	6791	4.5	3.5
78	6867	4.5	3.5
78	6993	4.0	3.5
78	7027	4.5	3.5
78	7063	5.0	3.5
78	7123	4.5	3.5
78	7236	4.5	3.5
78	7323	4.5	3.5
78	7361	4.5	3.5
78	7489	3.5	3.5
78	8400	4.5	3.5
78	8595	4.0	3.5
78	8623	4.5	3.5
78	9005	4.5	3.5
78	26203	4.0	3.5
78	26285	4.0	3.5
78	46976	4.5	3.5
78	49272	3.0	3.5
127	2136	3.5	3.0
127	3157	3.0	3.5
127	8810	3.0	3.5
127	31429	1.0	3.5
127	32296	0.5	3.5
127	44004	4.0	3.5
127	45726	4.5	3.5
127	54286	3.5	3.5
170	19	2.0	2.5
170	47	4.0	3.0
170	223	4.5	3.0
170	296	4.5	3.0
170	364	2.0	3.0
170	420	2.5	2.5
170	500	2.0	2.5
170	1380	2.0	2.5
170	1517	3.0	2.5
170	2683	3.5	2.5
170	2762	3.5	2.5
170	2858	3.5	2.5
170	2959	5.0	2.5
170	4963	4.0	2.5
170	6807	4.0	2.5
170	8874	4.0	2.5
170	8917	3.0	2.5
170	44191	4.0	2.5
175	1	4.0	4.5
175	21	0.5	4.5
175	32	4.0	4.5
175	50	5.0	4.5
175	58	4.0	5.0
175	95	2.5	5.0
175	111	5.0	5.0
175	296	5.0	5.0
175	307	5.0	5.0
175	318	5.0	5.0
175	349	5.0	5.0
175	357	4.0	5.0
175	364	5.0	5.0
175	380	1.0	5.0
175	410	0.5	5.0
175	527	5.0	5.0
175	587	3.0	5.0
175	590	2.0	5.0
175	593	5.0	5.0
175	648	3.5	5.0
175	912	5.0	5.0
175	913	4.5	5.0
175	922	5.0	5.0
175	923	5.0	5.0
175	965	5.0	5.0
175	1079	3.5	5.0
175	1089	5.0	5.0
175	1136	5.0	5.0
175	1179	4.0	5.0
175	1196	5.0	5.0
175	1200	5.0	5.0
175	1208	5.0	5.0
175	1216	5.0	5.0
175	1222	5.0	5.0
175	1233	4.0	5.0
175	1240	5.0	5.0
175	1259	5.0	5.0
175	1260	5.0	5.0
175	1265	2.0	5.0
175	1280	4.0	5.0
175	1299	4.0	5.0
175	1387	3.5	5.0
175	1552	3.0	5.0
175	1580	4.0	5.0
175	1584	3.0	5.0
175	1608	4.0	5.0
175	1617	5.0	5.0
175	1639	4.0	5.0
175	1953	5.0	5.0
175	2194	3.0	5.0
175	2291	5.0	5.0
175	2313	4.0	5.0
175	2406	3.0	5.0
175	2407	5.0	5.0
175	2628	0.5	5.0
175	2706	3.5	5.0
175	2905	5.0	5.0
175	2916	3.0	5.0
175	2951	5.0	5.0
175	3052	1.0	5.0
175	3362	4.0	5.0
175	3435	4.0	5.0
175	3481	4.0	5.0
175	3629	5.0	5.0
175	4019	5.0	5.0
175	4027	5.0	5.0
175	4886	4.0	5.0
175	5147	5.0	5.0
175	5300	4.0	5.0
175	5498	3.5	5.0
175	5669	4.0	5.0
175	5747	5.0	5.0
175	5952	5.0	5.0
175	6339	5.0	5.0
175	6650	5.0	5.0
175	6787	5.0	5.0
175	6791	5.0	5.0
175	7090	5.0	5.0
175	7327	5.0	5.0
175	7361	5.0	5.0
175	7478	5.0	5.0
175	7482	5.0	5.0
175	8665	5.0	5.0
175	8970	5.0	5.0
175	27846	5.0	5.0
190	7	2.0	3.5
190	161	3.0	3.5
190	329	4.5	3.5
190	356	4.0	3.5
190	368	3.0	3.5
190	529	3.5	3.5
190	589	5.0	3.5
190	708	2.5	3.5
190	741	4.0	3.5
190	1028	4.0	3.5
190	1036	4.0	3.5
190	1073	3.5	3.5
190	1097	3.0	3.5
190	1183	1.0	3.0
190	1210	3.5	3.0
190	1275	3.5	3.0
190	1301	4.0	3.0
190	1320	2.0	3.0
190	1580	4.0	3.0
